dcateCd,mcateCd,mcateNm,scateCd,scateNm,dcateNm,lcateCd,lcateNm,avgOrderInterval,moreThan1,moreThan2
4103806,2100186,블록/교육/퍼즐,3100960,음악/악기놀이,피아노/멜로디언,1100017,유아동/출산/완구,2.8,276,16
4101036,2100025,국내도서,3100199,투자/재테크,주식/펀드/증권,1100005,도서/교육/음반,27.6,142,18
4103106,2100093,육아용품,3100561,유아 바디/스킨케어 용품,기저귀 크림/파우더,1100017,유아동/출산/완구,42.42857142857143,800,26
4102518,2100077,캠핑/낚시,3100464,캠핑 취사/조리도구,이외 취사/조리도구,1100013,스포츠/레저용품,7.2727272727272725,701,31
4101722,2100053,명품,3100328,가방,지갑/벨트,1100010,브랜드 신발/잡화,34.2,142,9
4104630,2100150,패션 잡화/소품,3100828,넥타이/행커치프,자동 넥타이,1100023,패션 신발/잡화,5.0,142,21
4101717,2100052,남성화,3100327,남성 정장화/단화,이외 남성 정장화/단화,1100010,브랜드 신발/잡화,2.0,110,5
4103993,2100121,문구/사무용품,3100704,전용지,포스/영수증 용지,1100020,취미/문구/놀이,18.5,106,10
4101469,2100041,해외-이미용소품/네일케어,3100278,해외-메이크업/뷰티소품,클렌징솔/브러쉬,1100007,미용,2.0,27,1
239021007,239020000,스포츠 의류,239021000,여성 티셔츠/상의,후드 티셔츠,239000000,스포츠패션,29.0,9,1
234010303,234010000,국내브랜드,234010300,색조화장품,베이스메이크업,234000000,뷰티,32.89507126910527,69350,7196
241010203,241010000,기저귀/분유,241010200,분유,분유 기타,241000000,유아동/출산,26.943005823318053,17332,5698
238070306,238070000,캠핑/낚시,238070300,캠핑,캠핑 식기/조리도구,238000000,스포츠/자동차,16.786941580756015,4360,500
4102868,2100088,잠옷/홈웨어,3100515,남성 잠옷/내의,발열 내의,1100015,언더웨어,10.0,258,32
4102019,2100062,남성 의류,3100378,남성 후드/맨투맨,맨투맨,1100011,브랜드 의류,5.5,7654,2452
4104513,2100146,시계/쥬얼리,3100809,골드바/돌반지,골드바,1100023,패션 신발/잡화,21.558823529411764,421,141
