,time
2256,24.0
2258,19.0
2260,49.0
2261,27.0
2262,14.0
2263,20.0
2264,47.0
2267,128.0
2268,8.0
2269,35.0
2272,57.0
2273,97.0
2275,23.0
2276,26.0
2277,15.0
2278,30.0
2279,32.0
2280,28.0
2281,35.0
2283,56.0
2284,47.0
2286,6.0
2287,4.0
2288,19.0
2289,9.0
2292,17.0
2293,31.0
2295,13.0
2296,11.0
2297,6.0
2299,57.0
2300,15.0
2303,14.0
2304,1.0
2305,15.0
2306,22.0
2307,19.0
2308,12.0
2309,9.0
2310,9.0
2311,3.0
2312,4.0
2313,14.0
2314,5.0
2315,2.0
2316,7.0
2317,21.0
2318,27.0
2319,15.0
2321,37.0
2322,21.0
2324,61.0
2325,56.0
2327,194.0
2328,11.0
2330,199.0
2332,40.0
2333,41.0
2334,21.0
2335,49.0
2336,17.0
2337,16.0
2339,26.0
2340,12.0
2341,1.0
2342,2.0
2343,5.0
2344,2.0
2345,4.0
2346,62.0
2347,10.0
2348,13.0
2349,4.0
2350,12.0
2351,3.0
2353,6.0
2354,13.0
2355,14.0
2356,3.0
2358,51.0
2359,81.0
2360,77.0
2362,32.0
2365,62.0
2366,17.0
2368,35.0
2369,59.0
2371,57.0
2372,48.0
2373,50.0
2376,25.0
2377,124.0
2379,25.0
2380,2.0
2382,30.0
2383,21.0
2386,93.0
2388,132.0
2390,56.0
2392,23.0
2393,12.0
2394,21.0
2395,6.0
2396,26.0
2397,15.0
2398,13.0
2400,31.0
2401,50.0
2402,54.0
2406,12.0
2407,12.0
2408,17.0
2409,13.0
2410,27.0
2411,36.0
2412,15.0
2413,31.0
2414,2.0
2415,20.0
2417,37.0
2418,17.0
2419,11.0
2420,13.0
2421,4.0
2422,5.0
2423,28.0
2424,7.0
2425,24.0
2426,12.0
2427,17.0
2428,7.0
2429,7.0
2430,14.0
2432,63.0
2434,29.0
2436,37.0
2437,62.0
2438,68.0
2441,32.0
2444,107.0
2445,75.0
2448,17.0
2449,10.0
2450,11.0
2452,12.0
2454,27.0
2455,9.0
2456,16.0
2457,11.0
2458,19.0
2459,10.0
2461,15.0
2462,23.0
2463,16.0
2465,113.0
2466,41.0
2468,11.0
2469,144.0
2470,31.0
2471,3.0
2472,3.0
2474,16.0
2475,14.0
2476,31.0
2477,58.0
2478,4.0
2479,2.0
2480,21.0
2481,13.0
2482,23.0
2483,5.0
2484,6.0
2486,6.0
2490,17.0
2492,15.0
2493,7.0
2495,155.0
2497,17.0
2498,20.0
2499,21.0
2500,26.0
2501,15.0
2502,17.0
2503,17.0
2504,62.0
2506,22.0
2507,10.0
2508,32.0
2509,23.0
2511,46.0
2512,20.0
2514,30.0
2515,90.0
2516,27.0
2517,40.0
2520,104.0
2521,94.0
2523,14.0
2524,20.0
2525,8.0
2526,23.0
2527,16.0
2528,9.0
2529,3.0
2530,26.0
2531,27.0
2532,31.0
2533,24.0
2535,24.0
2536,7.0
2537,35.0
2538,40.0
2539,17.0
2540,34.0
2541,13.0
2542,25.0
2544,113.0
2545,43.0
2547,157.0
2549,12.0
2551,124.0
2553,39.0
2554,12.0
2555,47.0
2556,31.0
2557,33.0
2558,7.0
2560,62.0
2561,76.0
2563,6.0
2564,24.0
2565,19.0
2566,13.0
2567,18.0
2568,51.0
2570,144.0
2572,61.0
2574,66.0
2575,46.0
2576,21.0
2578,89.0
2581,59.0
2582,82.0
2585,40.0
2590,67.0
2591,13.0
2592,28.0
2596,187.0
2598,22.0
2603,25.0
2604,24.0
2605,35.0
2606,46.0
2607,15.0
2608,62.0
2612,19.0
2613,8.0
2614,23.0
2615,19.0
2616,21.0
2617,31.0
2620,32.0
2621,30.0
2624,56.0
2626,31.0
2627,142.0
2629,41.0
2630,134.0
2632,85.0
2634,12.0
2635,135.0
2637,61.0
2639,48.0
2640,16.0
2641,28.0
2642,9.0
2643,14.0
2644,15.0
2645,57.0
2647,15.0
2648,98.0
2649,69.0
2652,63.0
2653,3.0
2654,40.0
2655,13.0
2656,52.0
2657,16.0
2659,42.0
2660,22.0
2661,13.0
2662,58.0
2663,30.0
2664,17.0
2665,20.0
2667,38.0
2668,3.0
2669,14.0
2671,86.0
2672,63.0
2675,95.0
2677,92.0
2679,141.0
2681,6.0
2682,9.0
2683,26.0
2684,8.0
2686,12.0
2687,31.0
2688,17.0
2689,19.0
2690,39.0
2691,31.0
2695,187.0
2699,5.0
2700,5.0
2702,1.0
2703,13.0
2704,14.0
2705,14.0
2706,18.0
2707,61.0
2708,28.0
2709,3.0
2710,39.0
2712,85.0
2713,26.0
2715,145.0
2719,48.0
2720,13.0
2721,78.0
2724,174.0
2726,27.0
2727,25.0
2728,11.0
2729,37.0
2730,63.0
2731,18.0
2735,37.0
2736,23.0
2737,38.0
2738,20.0
2739,29.0
2740,23.0
2741,18.0
2743,41.0
2744,30.0
2745,17.0
2746,1.0
2747,43.0
2748,3.0
2749,17.0
2750,1.0
2752,33.0
2756,17.0
2757,14.0
2758,57.0
2759,9.0
2760,24.0
2761,2.0
2762,66.0
2764,16.0
2766,94.0
2767,96.0
2772,58.0
2775,8.0
2776,22.0
2777,21.0
2778,41.0
2779,31.0
2780,4.0
2781,7.0
2783,40.0
2784,33.0
2787,36.0
2788,32.0
2789,30.0
2790,19.0
2793,46.0
2794,31.0
2797,15.0
2799,74.0
2802,6.0
2803,43.0
2804,9.0
2805,40.0
2806,20.0
2808,155.0
2810,39.0
2812,70.0
2813,25.0
2814,45.0
2815,55.0
2819,47.0
2821,156.0
2823,13.0
2826,158.0
2827,27.0
2828,15.0
2831,32.0
2832,31.0
2833,9.0
2834,26.0
2835,13.0
2837,31.0
2838,33.0
2839,26.0
2841,26.0
2844,23.0
2845,49.0
2846,83.0
2847,6.0
2848,20.0
2849,19.0
2852,31.0
2853,30.0
2854,28.0
2855,31.0
2857,6.0
2858,190.0
2860,27.0
2861,14.0
2862,7.0
2863,14.0
2864,8.0
2865,20.0
2866,26.0
2867,32.0
2868,34.0
2869,17.0
2871,37.0
2873,129.0
2877,78.0
2878,19.0
2879,22.0
2880,9.0
2882,71.0
2884,31.0
2885,18.0
2886,31.0
2887,15.0
2888,33.0
2889,13.0
2890,29.0
2895,113.0
2896,20.0
2897,24.0
2899,16.0
2900,33.0
2901,9.0
2902,17.0
2903,32.0
2904,56.0
2905,32.0
2908,129.0
2909,4.0
2910,22.0
2911,16.0
2913,111.0
2914,2.0
2915,55.0
2917,5.0
2919,70.0
2920,8.0
2923,176.0
2924,24.0
2928,21.0
2929,9.0
2930,47.0
2931,11.0
2932,22.0
2933,18.0
2934,20.0
2937,130.0
2940,31.0
2941,28.0
2942,30.0
2943,19.0
2944,10.0
2945,21.0
2946,9.0
2947,21.0
2948,8.0
2953,151.0
2954,26.0
2958,27.0
2959,5.0
2960,9.0
2961,69.0
2962,49.0
2964,168.0
2966,3.0
2967,28.0
2968,20.0
2969,6.0
2970,6.0
2971,31.0
2972,22.0
2973,19.0
2974,12.0
2975,28.0
2976,25.0
2978,28.0
2979,31.0
2980,30.0
2981,14.0
2983,107.0
2986,12.0
2987,30.0
2988,115.0
2989,36.0
2991,13.0
2992,3.0
2993,118.0
2994,52.0
2999,46.0
3000,37.0
3001,9.0
3002,35.0
3003,14.0
3004,12.0
3005,51.0
3008,15.0
3009,72.0
3010,9.0
3011,28.0
3012,16.0
3014,43.0
3015,20.0
3016,3.0
3017,24.0
3018,75.0
3019,14.0
3020,9.0
3023,40.0
3024,16.0
3025,1.0
3026,54.0
3027,58.0
3028,10.0
3029,15.0
3031,71.0
3033,9.0
3034,13.0
3035,15.0
3036,6.0
3037,10.0
3038,13.0
3039,7.0
3040,7.0
3041,14.0
3042,9.0
3047,104.0
3049,14.0
3051,60.0
3052,11.0
3053,83.0
3058,8.0
3059,25.0
3063,19.0
3064,13.0
3065,143.0
3067,155.0
3068,33.0
3072,22.0
3073,76.0
3074,105.0
3076,23.0
3077,40.0
3078,21.0
3081,89.0
3082,60.0
3084,3.0
3085,187.0
3087,29.0
3088,29.0
3089,31.0
