,biz_dt,mid,price,prodNo,dcateCd,dcateNm
598,2018-08-21 15:02:37,11920532,239000,100445247,4104294,이외 브랜드
807,2018-08-21 15:11:26,11996067,99000,106385642,4104294,이외 브랜드
723,2018-08-21 15:37:25,25315968,209000,106996831,4104294,이외 브랜드
729,2018-08-21 16:38:33,7974438,109000,100279015,4104294,이외 브랜드
292,2018-08-21 17:10:32,1700991,176000,100926807,4104294,이외 브랜드
407,2018-08-21 17:57:02,20649131,279000,100268660,4104294,이외 브랜드
370,2018-08-21 20:05:54,19112041,359000,100230823,4104294,이외 브랜드
795,2018-08-21 20:39:22,2269063,265000,100275520,4104294,이외 브랜드
808,2018-08-21 21:45:45,16950107,99000,106385642,4104294,이외 브랜드
787,2018-08-21 21:53:04,19956476,219000,100364713,4104294,이외 브랜드
796,2018-08-22 00:02:30,2269063,269000,100275526,4104294,이외 브랜드
53,2018-08-22 09:09:22,20163824,209000,107277081,4104294,이외 브랜드
188,2018-08-22 11:12:24,15874208,69000,101330033,4104294,이외 브랜드
169,2018-08-22 12:45:19,17353054,209000,100639808,4104294,이외 브랜드
768,2018-08-22 12:56:11,25324248,145000,100926733,4104294,이외 브랜드
408,2018-08-22 15:22:20,2754492,85000,101330366,4104294,이외 브랜드
198,2018-08-22 16:37:55,12229847,69000,101330033,4104294,이외 브랜드
442,2018-08-22 17:41:38,2251702,85000,101330313,4104294,이외 브랜드
165,2018-08-22 18:03:25,4978895,125000,101330504,4104294,이외 브랜드
173,2018-08-22 18:24:45,16533219,209000,100639808,4104294,이외 브랜드
409,2018-08-22 21:24:10,3928974,85000,101330366,4104294,이외 브랜드
54,2018-08-22 22:49:03,20163824,209000,107277081,4104294,이외 브랜드
374,2018-08-22 23:08:37,1054369,359000,100230823,4104294,이외 브랜드
678,2018-08-22 23:21:56,2837813,459000,100351374,4104294,이외 브랜드
441,2018-08-23 00:42:20,21096842,85000,101330313,4104294,이외 브랜드
753,2018-08-23 04:05:16,25557943,599000,100229504,4104294,이외 브랜드
752,2018-08-23 06:54:30,4095257,599000,100229504,4104294,이외 브랜드
464,2018-08-23 11:47:12,18385397,93000,101376413,4104294,이외 브랜드
