,mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
2,15993707,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
3,15997424,4101343,3100255,2100035,1100006,2,12,12.0,12,Infinity,Infinity,,,0.05,
0,16027304,4101102,3100207,2100026,1100005,2,5,5.0,5,Infinity,Infinity,,,0.10909090909090907,
1,16034537,4104732,3100844,2100152,1100024,2,2,2.0,2,Infinity,Infinity,,,0.25,
2,16045853,232060401,232060400,232060000,232000000,2,25,25.0,25,Infinity,Infinity,,,0.09146341463414634,
3,16064802,4102290,3100418,2100070,1100013,2,2,2.0,2,Infinity,Infinity,,,0.08411214953271028,
4,16138196,4104133,3100728,2100125,1100020,2,3,3.0,3,Infinity,Infinity,,,0.060240963855421686,
0,16139764,4100915,3100180,2100021,1100004,2,1,1.0,1,Infinity,Infinity,,,0.061728395061728385,
1,16193538,4100826,3100167,2100018,1100003,2,1,1.0,1,Infinity,Infinity,,,0.07758620689655173,
2,1619739,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
3,16219933,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
4,16257857,4100889,3100176,2100021,1100004,2,7,7.0,7,Infinity,Infinity,,,0.225,
0,16261494,4102894,3100520,2100089,1100016,2,2,2.0,2,Infinity,Infinity,,,0.25,
1,1627222,4104118,3100726,2100125,1100020,5,13,13.0,13,Infinity,Infinity,,,0.038461538461538464,
2,16318325,232061403,232061400,232060000,232000000,4,4,4.0,4,Infinity,Infinity,,,0.036036036036036036,
3,16351114,4100723,3100149,2100013,1100002,2,3,3.0,3,Infinity,Infinity,,,,
4,16384984,4101845,3100351,2100058,1100010,2,3,3.0,3,Infinity,Infinity,,,0.05333333333333334,
0,16396558,233030106,233030100,233030000,233000000,4,30,30.0,30,Infinity,Infinity,,,0.16411993061865038,
1,16402636,233030104,233030100,233030000,233000000,2,30,30.0,30,Infinity,Infinity,,,0.14717978848413632,
2,16420523,4104821,3100856,2100154,1100024,2,11,11.0,11,Infinity,Infinity,,,0.02424242424242424,
3,1643614,4103141,3100566,2100093,1100017,2,1,1.0,1,Infinity,Infinity,,,0.032085561497326213,
0,16501215,4105738,3101052,2100201,1100034,3,1,1.0,1,Infinity,Infinity,,,,
1,16515763,238080402,238080400,238080000,238000000,2,1,1.0,1,Infinity,Infinity,,,0.013238289205702648,
2,1653390,4102902,3100522,2100089,1100016,2,2,2.0,2,Infinity,Infinity,,,0.038461538461538464,
3,16535562,4104705,3100840,2100152,1100024,2,1,1.0,1,Infinity,Infinity,,,0.2735849056603773,
4,16553398,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
